UF,Nome_UF,Região Geográfica Intermediária,Nome Região Geográfica Intermediária,Região Geográfica Imediata,Nome Região Geográfica Imediata,Mesorregião Geográfica,Nome_Mesorregiao,Microrregião Geográfica,Nome_Microrregião,Município,codIBGE,Nome_Municipio
33,Rio de Janeiro,3301,Rio de Janeiro,330002,Angra dos Reis,05,Sul Fluminense,013,Baía da Ilha Grande,00100,3300100,Angra dos Reis
33,Rio de Janeiro,3304,Campos dos Goytacazes,330012,Santo Antônio de Pádua,01,Noroeste Fluminense,002,Santo Antônio de Pádua,00159,3300159,Aperibé
33,Rio de Janeiro,3305,Macaé - Rio das Ostras - Cabo Frio,330013,Cabo Frio,04,Baixadas,010,Lagos,00209,3300209,Araruama
33,Rio de Janeiro,3303,Petrópolis,330007,Petrópolis,03,Centro Fluminense,005,Três Rios,00225,3300225,Areal
33,Rio de Janeiro,3305,Macaé - Rio das Ostras - Cabo Frio,330013,Cabo Frio,04,Baixadas,010,Lagos,00233,3300233,Armação dos Búzios
33,Rio de Janeiro,3305,Macaé - Rio das Ostras - Cabo Frio,330013,Cabo Frio,04,Baixadas,010,Lagos,00258,3300258,Arraial do Cabo
33,Rio de Janeiro,3302,Volta Redonda - Barra Mansa,330004,Volta Redonda - Barra Mansa,05,Sul Fluminense,012,Barra do Piraí,00308,3300308,Barra do Piraí
33,Rio de Janeiro,3302,Volta Redonda - Barra Mansa,330004,Volta Redonda - Barra Mansa,05,Sul Fluminense,011,Vale do Paraíba Fluminense,00407,3300407,Barra Mansa
33,Rio de Janeiro,3301,Rio de Janeiro,330001,Rio de Janeiro,06,Metropolitana do Rio de Janeiro,018,Rio de Janeiro,00456,3300456,Belford Roxo
33,Rio de Janeiro,3303,Petrópolis,330008,Nova Friburgo,03,Centro Fluminense,007,Nova Friburgo,00506,3300506,Bom Jardim
33,Rio de Janeiro,3304,Campos dos Goytacazes,330011,Itaperuna,01,Noroeste Fluminense,001,Itaperuna,00605,3300605,Bom Jesus do Itabapoana
33,Rio de Janeiro,3305,Macaé - Rio das Ostras - Cabo Frio,330013,Cabo Frio,04,Baixadas,010,Lagos,00704,3300704,Cabo Frio
33,Rio de Janeiro,3301,Rio de Janeiro,330003,Rio Bonito,06,Metropolitana do Rio de Janeiro,016,Macacu-Caceribu,00803,3300803,Cachoeiras de Macacu
33,Rio de Janeiro,3304,Campos dos Goytacazes,330012,Santo Antônio de Pádua,01,Noroeste Fluminense,002,Santo Antônio de Pádua,00902,3300902,Cambuci
33,Rio de Janeiro,3304,Campos dos Goytacazes,330010,Campos dos Goytacazes,02,Norte Fluminense,003,Campos dos Goytacazes,01009,3301009,Campos dos Goytacazes
33,Rio de Janeiro,3303,Petrópolis,330008,Nova Friburgo,03,Centro Fluminense,006,Cantagalo-Cordeiro,01108,3301108,Cantagalo
33,Rio de Janeiro,3305,Macaé - Rio das Ostras - Cabo Frio,330014,Macaé - Rio das Ostras,02,Norte Fluminense,004,Macaé,00936,3300936,Carapebus
33,Rio de Janeiro,3304,Campos dos Goytacazes,330010,Campos dos Goytacazes,02,Norte Fluminense,003,Campos dos Goytacazes,01157,3301157,Cardoso Moreira
33,Rio de Janeiro,3303,Petrópolis,330008,Nova Friburgo,03,Centro Fluminense,006,Cantagalo-Cordeiro,01207,3301207,Carmo
33,Rio de Janeiro,3305,Macaé - Rio das Ostras - Cabo Frio,330014,Macaé - Rio das Ostras,04,Baixadas,009,Bacia de São João,01306,3301306,Casimiro de Abreu
33,Rio de Janeiro,3303,Petrópolis,330009,Três Rios - Paraíba do Sul,03,Centro Fluminense,005,Três Rios,00951,3300951,Comendador Levy Gasparian
33,Rio de Janeiro,3305,Macaé - Rio das Ostras - Cabo Frio,330014,Macaé - Rio das Ostras,02,Norte Fluminense,004,Macaé,01405,3301405,Conceição de Macabu
33,Rio de Janeiro,3303,Petrópolis,330008,Nova Friburgo,03,Centro Fluminense,006,Cantagalo-Cordeiro,01504,3301504,Cordeiro
33,Rio de Janeiro,3303,Petrópolis,330008,Nova Friburgo,03,Centro Fluminense,007,Nova Friburgo,01603,3301603,Duas Barras
33,Rio de Janeiro,3301,Rio de Janeiro,330001,Rio de Janeiro,06,Metropolitana do Rio de Janeiro,018,Rio de Janeiro,01702,3301702,Duque de Caxias
33,Rio de Janeiro,3302,Volta Redonda - Barra Mansa,330004,Volta Redonda - Barra Mansa,06,Metropolitana do Rio de Janeiro,014,Vassouras,01801,3301801,Engenheiro Paulo de Frontin
33,Rio de Janeiro,3301,Rio de Janeiro,330001,Rio de Janeiro,06,Metropolitana do Rio de Janeiro,018,Rio de Janeiro,01850,3301850,Guapimirim
