ITEM,CBA,OBM,ATIVIDADE,TEM ÁREA OPERACIONAL DELIMITADA?,OBM_NOMECOMPLETO,DATA_DE_CRIAÇÃO,POPULACAO_DENTRO_DA_AREA_OPERACIONAL_hab,AREA_km2,DENSIDADE_DEMOGR_hab_km2,VIATURAS OPERACIONAIS,VIATURAS ADMINISTRATIVAS,DIVISA DE ÁREA,ENDEREÇO,Nº,BAIRRO,CEP,MUNICÍPIO,TELEFONE,LONGITUDE (x),LATITUDE (Y),G MAPS,ICONE_MAPA,LATITUDE,LONGITUDDE,UTM LATITUDE,UTM LONGITUDE,UTM ZONE
2,CBA 01,GOCG,FIM,SIM,GOCG - CENTRO,14/05/2003,143168,"13,1",10929,,,,PÇA. DA REPÚBLICA,45,CENTRO,21.211-350,RIO DE JANEIRO,21 23328840,"43°11'15.05""","22°54'33.78""","-22.908872, -43.187652",10_blue,-22908888,-43187663,"7465421,64","685877,24",23K
3,CBA 01,DBM 1/GOCG,FIM,SIM,DBM 1/GOCG - SANTA TERESA,21/09/1964,56628,"10,6",5342,,,,RUA ALMIRANTE ALEXANDRINO,3596,SANTA TERESA,20.241-266,RIO DE JANEIRO,21 23344046,"43°12'14.94""","22°56'11.89""","-22.936281, -43.203927",10_blue,-22906017,-43164058,"7465709,55","688302,76",23K
4,CBA 01,PABM 1/GOCG,FIM,NÃO,PABM 1/GOCG - GAMBOA,,,,,,,,,,,,,,,,,,,,,,
5,CBA 01,1º GBM,FIM,SIM,1º GBM - HUMAITÁ,06/12/1895,142509,"11,4",12501,,,,RUA HUMAITÁ,126,HUMAITÁ,22.261-001,RIO DE JANEIRO,21 23348118,"43°11'58.33""","22°57'26.05""","-22.957526, -43.199225",10_blue,-22957512,-43199217,"7460051,71",684626,23K
6,CBA 01,DBM 1/1,FIM,SIM,DBM 1/1 - CATETE,15/05/1865,157951,"6,3",25072,,,,PRAÇA SÃO SALVADOR,4,CATETE,22.231-170,RIO DE JANEIRO,21 23344139,"43°10'47.40""","22°56'01.12""","-22.933758, -43.179921",10_blue,-22933771,-43179893,"7462656,31","686640,23",23K
7,CBA 01,DBM 2/1,FIM,SIM,DBM 2/1 - GÁVEA,16/02/1928,164081,"15,4",10655,,,,RUA MAJOR RUBENS VAZ,194,GÁVEA,22.470-070,RIO DE JANEIRO,21 23322930,"43°13'33.81""","22°58'20.54""","-22.972458, -43.226048",10_blue,-22972505,-43226028,"7458424,9","681856,5",23K
8,CBA 01,2º GBM,FIM,SIM,2º GBM - MÉIER,11/11/1915,384261,"23,5",16352,,,,RUA ARISTIDES CAIRE,56,MÉIER,20.775-090,RIO DE JANEIRO,21 23322381,"43°16'31.82""","22°53'47.72""","-22.89931, -43.27836",1_blue,-22899317,-43278367,"7466593,21","676584,82",23K
9,CBA 01,DBM 1/2,FIM,SIM,DBM 1/2 - RAMOS,28/11/1929,267833,"16,9",15848,,,,RUA EUCLIDES FARIA,139,RAMOS,21.060-100,RIO DE JANEIRO,21 23347954,"43°15'49.87""","22°51'19.97""","-22.85554, -43.26436",1_blue,-22855544,-43264361,"7471423,48","678078,8",23K
10,CBA 01,8º GBM,FIM,SIM,8º GBM - CAMPINHO,31/12/1924,403326,"39,5",10211,,,,RUA DOMINGOS LOPES,336,CAMPINHO,21.310-120,RIO DE JANEIRO,21 23335640,"43°20'28.46""","22°52'47.92""","-22.87977, -43.34133",1_blue,-22879775,-43341334,"7468831,27","670149,49",23K
11,CBA 01,DBM 1/8,FIM,SIM,DBM 1/8 - REALENGO,08/12/1917,590427,"82,9",7122,,,,RUA GENERAL SEZEFREDO,449,REALENGO,21.710-061,RIO DE JANEIRO,21 23335013,"43°26'48.36""","22°52'48.36""","-22.87997, -43.43509",1_blue,-22879977,-43435093,"7468914,15","660529,52",23K
12,CBA 01,11º GBM,FIM,SIM,11º GBM - VILA ISABEL,05/10/1887,113051,"5,1",22167,,,,RUA 8 DE DEZEMBRO,456,VILA ISABEL,20.550-200,RIO DE JANEIRO,21 23341946,"43°14'28.71""","22°54'36.66""","-22.910247, -43.241071",10_blue,-22910248,-43241071,"7465337,53","680396,57",23K
13,CBA 01,DBM 1/11,FIM,SIM,DBM 1/11 - BENFICA,24/04/1905,187970,"10,6",17733,,,,AVENIDA DOM HELDER CÂMARA,9,BENFICA,20.911-290,RIO DE JANEIRO,21 23324578,"43°14'24.45""","22°53'32.20""","-22.892322, -43.240161",10_blue,-22892522,-43240211,"7467299,36","680508,26",23K
14,CBA 01,DBM 2/11,FIM,SIM,DBM 2/11 - GRAJAÚ,28/06/1966,127393,"10,4",12249,,,,RUA MARECHAL JOFRE,80,GRAJAÚ,20.560-180,RIO DE JANEIRO,21 23321637,"43°15'55.48""","22°55'07.29""","-22.918483, -43.265426",10_blue,-2291876,-43265373,"7464424,55","677892,49",23K
15,CBA 01,DBM 3/11,FIM,SIM,DBM 3/11 - TIJUCA,24/04/1905,241871,"13,7",17655,,,,RUA ANTÔNIO BASÍLIO,610,TIJUCA,20.511-190,RIO DE JANEIRO,21 23321639,"43°14'22.31""","22°55'41.80""","-22.928323, -43.239488",10_blue,-22928493,-43239732,"7463315,52","680509,75",23K
16,CBA 01,PABM 1/11,FIM,SIM,PABM 1/11 - SÃO CRISTÓVÃO,24/04/2011,43321,"4,4",9846,,,,RUA CAMPO DE SÃO CRITOVÃO,S/Nº,CAMPO DE SÃO CRISTÓVÃO,20921-440,RIO DE JANEIRO,21 23348469,"43°13'06.51""","22°53'51.20""","-22.89747, -43.21879",8_blue,-22897479,-4321879,"7466724,02","682699,35",23K
17,CBA 01,12º GBM,FIM,SIM,12º GBM - JACAREPAGUÁ,30/08/1972,495749,"129,6",3825,,,,RUA HENRIQUETA,99,TANQUE,22.375-130,RIO DE JANEIRO,21 23322615,"43°21'28.07""","22°55'11.18""","-22.91983, -43.35802",1_blue,-22919834,-43358029,"7464414,72","668387,07",23K
18,CBA 01,13º GBM,FIM,SIM,13º GBM - CAMPO GRANDE,23/11/1937,569194,"176,3",3229,,,,AVENIDA CESÁRIO DE MELO,3226,CAMPO GRANDE,23.050-100,RIO DE JANEIRO,21 23336810,"43°33'46.01""","22°54'26.69""","-22.907448, -43.562727",1_blue,-22907508,-43562806,"7465995,98","647411,99",23K
19,CBA 01,DBM 1/13,FIM,SIM,DBM 1/13 - SANTA CRUZ,19/01/1946,287647,"124,5",2310,,,,PRAÇA RUÃO,S/Nº,SANTA CRUZ,23.570-200,RIO DE JANEIRO,21 23337336,"43°41'05.02""","22°54'50.93""","-22.914208, -43.684675",1_blue,-2291407,-436847,"7465389,72","634887,44",23K
